"","OBJECTID","ID","NAME","ROUTES"
"1",7,127,"161st St","D"
"2",307,187,"59th St","D"
"3",254,195,"125th St","D"
"4",260,197,"145th St","D"
"5",266,206,"155th St","D"
"6",8,208,"167th St","D"
"7",10,209,"170th St","D"
"8",13,210,"174th St","D"
"9",69,211,"Tremont Ave","D"
"10",15,212,"182nd St","D"
"11",46,213,"Fordham Rd","D"
"12",54,214,"Kingsbridge Rd","D"
"13",30,215,"Bedford Park Blvd","D"
"14",17,216,"205th St","D"
"15",318,255,"7th Ave","D"
"16",358,291,"Grand St","D"
"17",333,292,"Broadway-Lafayette St","D"
"18",25,296,"W 4th St","D"
"19",297,297,"42nd St","D"
"20",299,298,"47th-50th Sts","D"
"21",294,368,"34th St","D"
"22",479,401,"Coney Island","D"
"23",213,402,"Pacific St","D"
"24",82,407,"36th St","D"
"25",99,415,"9th Ave","D"
"26",163,416,"Ft Hamilton Pky","D"
"27",85,417,"50th St","D"
"28",87,418,"55th St","D"
"29",89,419,"62nd St","D"
"30",90,420,"71st St","D"
"31",92,421,"79th St","D"
"32",75,422,"18th Ave","D"
"33",79,423,"20th Ave","D"
"34",116,424,"Bay Pky","D"
"35",80,425,"25th Ave","D"
"36",115,426,"Bay 50th St","D"
