"","NAME","UNIQUEID"
"1","South Ferry","3"
"2","Rector St","2"
"3","Chambers St","3441"
"4","Franklin St","351"
"5","Canal St","340"
"6","Houston St","359"
"7","Christopher St","345"
"8","14th St","2651"
"9","18th St","275"
"10","23rd St","287"
"11","28th St","290"
"12","34th St","2951"
"13","50th St","302"
"14","59th St","308"
"15","66th St","312"
"16","72nd St","3151"
"17","79th St","317"
"18","86th St","322"
"19","96th St","3271"
"20","103rd St","244"
"21","Cathedral Pky","341"
"22","116th St","251"
"23","125th St","255"
"24","137th St","258"
"25","145th St","261"
"26","157th St","268"
"27","168th St","271"
"28","181st St","274"
"29","191st St","277"
"30","Dyckman St","349"
"31","207th St","280"
"32","215th St","281"
"33","225th St","282"
"34","231st St","20"
"35","238th St","22"
"36","242nd St","24"
"37","Times Sq","4811"
"38","Cortlandt St","383"
